User-ID;Age
1;
2;18
3;
4;17
5;
6;61
7;
8;
9;
10;26
11;14
12;
13;26
14;
15;
16;
17;
18;25
19;14
20;19
21;46
22;
23;
24;19
25;55
26;
27;32
28;24
29;19
30;24
31;20
32;
33;34
34;
35;17
36;24
37;23
38;34
39;
40;32
41;14
42;17
43;
44;51
45;
46;31
47;21
48;
49;
50;17
51;34
52;
53;
54;44
55;
56;24
57;
58;
59;23
60;
61;30
62;
63;57
64;32
65;
66;30
67;43
68;
69;
70;44
71;24
72;34
73;
74;30
75;37
76;
77;
78;18
79;20
80;
81;
82;
83;
84;
85;41
86;
87;
88;
89;54
90;42
91;
92;20
93;50
94;39
95;
96;
97;
98;19
99;42
100;44
101;26
102;
103;53
104;47
105;36
106;
107;
108;
109;20
110;
111;25
112;32
113;
114;57
115;
116;
117;57
118;28
119;35
120;13
121;
122;
123;24
124;58
125;49
126;24
127;28
128;
129;47
130;
131;
132;38
133;45
134;
135;
136;
137;
138;28
139;35
140;24
141;
142;
143;26
144;62
145;
146;
147;
148;63
149;
150;25
151;
152;26
153;24
154;
155;
156;20
157;36
158;38
159;
160;20
161;27
162;
163;
164;33
165;62
166;20
167;
168;44
169;
170;
171;29
172;66
173;
174;31
175;
176;34
177;46
178;28
179;
180;
181;
182;36
183;27
184;
185;17
186;
187;29
188;17
189;31
190;33
191;40
192;
193;23
194;
195;23
196;33
197;
198;21
199;38
200;27
201;
202;28
203;
204;15
205;23
206;60
207;
208;
209;21
210;54
211;21
212;21
213;
214;27
215;20
216;42
217;
218;41
219;
220;0
221;79
222;
223;
224;
225;
226;
227;
228;41
229;22
230;
231;
232;16
233;
234;25
235;22
236;
237;27
238;23
239;
240;20
241;
242;37
243;
244;
245;31
246;16
247;23
248;15
249;29
250;25
251;54
252;65
253;28
254;24
255;32
256;
257;
258;
259;45
260;51
261;45
262;28
263;
264;23
265;24
266;
267;29
268;
269;
270;
271;22
272;20
273;
274;26
275;
276;
277;15
278;21
279;
280;
281;31
282;
283;
284;35
285;
286;17
287;
288;19
289;15
290;
291;
292;22
293;25
294;
295;28
296;21
297;27
298;
299;42
300;
301;32
302;53
303;
304;24
305;
306;
307;27
308;53
309;30
310;26
311;34
312;
313;
314;28
315;
316;23
317;41
318;
319;32
320;37
321;24
322;
323;23
324;
325;
326;
327;
328;33
329;21
330;
331;60
332;59
333;23
334;27
335;27
336;27
337;17
338;
339;20
340;15
341;50
342;28
343;
344;25
345;27
346;29
347;34
348;
349;
350;
351;
352;28
353;41
354;
355;
356;
357;29
358;
359;
360;33
361;25
362;63
363;
364;
365;
366;
367;45
368;35
369;
370;
371;
372;22
373;
374;45
375;28
376;35
377;
378;57
379;47
380;
381;
382;
383;
384;23
385;
386;20
387;17
388;35
389;22
390;48
391;
392;44
393;24
394;25
395;24
396;
397;50
398;
399;41
400;
401;28
402;19
403;
404;37
405;
406;37
407;
408;17
409;50
410;40
411;27
412;
413;17
414;34
415;
416;31
417;
418;
419;14
420;14
421;47
422;23
423;
424;29
425;32
426;
427;
428;
429;25
430;
431;40
432;
433;48
434;
435;
436;53
437;
438;34
439;
440;16
441;
442;24
443;47
444;40
445;
446;
447;
448;22
449;
450;31
451;33
452;
453;
454;50
455;54
456;31
457;62
458;17
459;37
460;
461;15
462;18
463;20
464;24
465;
466;
467;
468;
469;18
470;0
471;31
472;
473;25
474;
475;34
476;
477;45
478;13
479;
480;62
481;
482;46
483;72
484;17
485;51
486;31
487;
488;25
489;
490;
491;26
492;60
493;29
494;
495;
496;51
497;51
498;29
499;62
500;17
501;
502;47
503;40
504;29
505;51
506;
507;
508;29
509;
510;
511;
512;58
513;
514;30
515;24
516;
517;22
518;
519;23
520;
521;
522;
523;19
524;37
525;29
526;35
527;22
528;16
529;28
530;47
531;56
532;53
533;31
534;59
535;
536;20
537;
538;26
539;
540;67
541;45
542;
543;27
544;
545;
546;51
547;
548;
549;
550;
551;19
552;
553;16
554;
555;36
556;31
557;49
558;
559;
560;
561;35
562;0
563;
564;15
565;48
566;
567;
568;
569;28
570;
571;23
572;23
573;31
574;33
575;23
576;35
577;
578;
579;29
580;22
581;45
582;56
583;19
584;23
585;
586;26
587;
588;60
589;
590;
591;42
592;
593;28
594;
595;17
596;49
597;43
598;34
599;36
600;20
601;
602;23
603;
604;42
605;
606;
607;31
608;30
609;34
610;19
611;24
612;20
613;1
614;28
615;29
616;34
617;54
618;
619;
620;45
621;48
622;23
623;
624;
625;41
626;41
627;
628;
629;44
630;33
631;
632;15
633;
634;50
635;24
636;
637;20
638;20
639;
640;
641;
642;37
643;23
644;
645;
646;21
647;35
648;
649;
650;
651;26
652;
653;
654;30
655;58
656;
657;
658;61
659;
660;
661;22
662;21
663;49
664;26
665;
666;
667;
668;27
669;24
670;
671;1
672;
673;23
674;
675;
676;31
677;27
678;
679;65
680;28
681;20
682;44
683;28
684;44
685;21
686;
687;35
688;14
689;22
690;80
691;25
692;44
693;58
694;
695;
696;13
697;
698;
699;
700;16
701;31
702;53
703;52
704;
705;
706;
707;
708;
709;14
710;42
711;27
712;29
713;49
714;
715;
716;34
717;
718;30
719;52
720;16
721;
722;66
723;
724;
725;24
726;31
727;40
728;
729;
730;69
731;
732;
733;53
734;
735;29
736;34
737;
738;
739;55
740;
741;16
742;
743;
744;48
745;25
746;36
747;
748;14
749;
750;36
751;41
752;
753;
754;33
755;24
756;
757;29
758;
759;
760;
761;30
762;23
763;
764;28
765;
766;52
767;43
768;
769;
770;
771;38
772;27
773;52
774;16
775;28
776;23
777;13
778;
779;
780;
781;20
782;57
783;
784;39
785;
786;48
787;
788;
789;15
790;
791;
792;44
793;
794;47
795;
796;
797;
798;
799;
800;
801;51
802;33
803;41
804;38
805;34
806;
807;32
808;
809;36
810;
811;34
812;17
813;42
814;
815; canada
816;32
817;41
818;
819;
820;38
821;33
822;25
823;36
824;15
825;38
826;65
827;
828;35
829;23
830;57
831;21
832;
833;
834;17
835;35
836;
837;26
838;71
839;40
840;21
841; usa
842;42
843;25
844;
845;25
846;55
847;23
848;
849;
850;22
851;
852;27
853;24
854;22
855;54
856;29
857;25
858;46
859;
860;26
861;
862;56
863;73
864;
865;
866;23
867;27
868;27
869;30
870;19
871;19
872;22
873;
874;
875;32
876;33
877;
878;
879;
880;
881;24
882;23
883;43
884;
885;
886;
887;30
888;
889;46
890;
891;
892;
893;19
894;22
895;40
896;27
897;14
898;
899;23
900;25
901;21
902;18
903;19
904;
905;
906;
907;31
908;
909;19
910;25
911;40
912;33
913;44
914;51
915;50
916;38
917;
918;52
919;65
920;28
921;
922;20
923;21
924;29
925;
926;29
927;16
928;60
929;36
930;30
931;43
932;1
933;29
934;
935;21
936;24
937;31
938;55
939;21
940;
941;
942;29
943;24
944;26
945;23
946;23
947;
948;
949;
950;
951;
952;
953;22
954;
955;
956;
957; chile
958;78
959;
960;
961;
962;
963;
964;
965;24
966;22
967;31
968;25
969;13
970;15
971;22
972;
973;
974;36
975;34
976;28
977;
978;33
979;36
980;23
981;
982;41
983;
984;
985;23
986;
987;
988;
989;33
990;
991;62
992;33
993;
994;
995;34
996;
997;
998;
999;21
1000;34
1001;19
1002;25
1003;
1004;
1005;67
1006;59
1007;16
1008;
1009;56
1010;26
1011;52
1012;
1013;23
1014;
1015;18
1016;
1017;35
1018;
1019;
1020;
1021;
1022;
1023;
1024;
1025;33
1026;
1027;18
1028;57
1029;57
1030;29
1031;52
1032;
1033;
1034;18
1035;26
1036;25
1037;18
1038;26
1039;38
1040;
1041;
1042;40
1043;
1044;34
1045;47
1046;
1047;
1048;22
1049;34
1050;
1051;17
1052;31
1053;20
1054;37
1055;30
1056;35
1057;19
1058;23
1059;47
1060;38
1061;
1062;16
1063;19
1064;45
1065;
1066;59
1067;37
1068;18
1069;
1070;
1071;22
1072;47
1073;31
1074;
1075;49
1076;20
1077;
1078;28
1079;
1080;35
1081;31
1082;36
1083;
1084;
1085;
1086;
1087;46
1088;17
1089;22
1090;49
1091;25
1092;
1093;
1094;18
1095;
1096;18
1097;
1098;
1099;32
1100;24
1101;
1102;28
1103;
1104;38
1105;57
1106;41
1107;
1108;
1109;18
1110;31
1111;
1112;
1113;22
1114;59
1115;
1116;29
1117;61
1118;
1119;
1120;
1121;
1122;21
1123;23
1124;
1125;18
1126;22
1127;
1128;61
1129;53
1130;26
1131;22
1132;
1133;46
1134;
1135;
1136;21
1137;25
1138;
1139;33
1140;19
1141;26
1142;25
1143;45
1144;21
1145;
1146;55
1147;
1148;79
1149;1
1150;25
1151;22
1152;
1153;26
1154;
1155;22
1156;
1157;34
1158;
1159;25
1160;18
1161;
1162;31
1163;32
1164;35
1165;
1166;22
1167;25
1168;20
1169;27
1170;17
1171;32
1172;26
1173;22
1174;32
1175;27
1176;29
1177;
1178;9
1179;28
1180;23
1181;38
1182;23
1183;49
1184;38
1185;
1186;24
1187;23
1188;29
1189;39
1190;24
1191;34
1192;27
1193;28
1194;
1195;
1196;28
1197;40
1198;35
1199;28
1200;
1201;22
1202;43
1203;21
1204;
1205;32
1206;
1207;
1208;
1209;33
1210;
1211;22
1212;24
1213;19
1214;30
1215;17
1216;24
1217;
1218;27
1219;17
1220;
1221;34
1222;
1223;
1224;
1225;22
1226;14
1227;16
1228;
1229;
1230;34
1231;13
1232;50
1233;27
1234;25
1235;
1236;25
1237;21
1238;42
1239;37
1240;36
1241;
1242;25
1243;34
1244;55
1245;
1246;36
1247;
1248;
1249;
1250;44
1251;
1252;
1253;22
1254;26
1255;23
1256;
1257;
1258;18
1259;29
1260;17
1261;46
1262;39
1263;23
1264;
1265;
1266;19
1267;
1268;
1269;42
1270;33
1271;64
1272;
1273;27
1274;
1275;
1276;
1277;
1278;
1279;
1280;34
1281;32
1282;32
1283;26
1284;44
1285;28
1286;
1287;32
1288;35
1289;103
1290;26
1291;34
1292;
1293;
1294;
1295;
1296;
1297;30
1298;20
1299;
1300;37
1301;18
1302;
1303;56
1304;47
1305;17
1306;41
1307;
1308;
1309;28
1310;
1311;
1312;23
1313;30
1314;48
1315;
1316;18
1317;63
1318;33
1319;
1320;36
1321;24
1322;21
1323;104
1324;
1325;
1326;37
1327;
